index,nctid,conditions,MTI_condition,DUI,TUI,conceptId,conceptName,domainId,condition_id
0,NCT00571389,"Solid Tumor, Adult",Neoplasms,D009369,T027926,438112,Neoplastic disease,Condition,condition_1
1,NCT00571389,Healthy Donors,Blood Donors,D001782,T005183,4103465,Erythrocytosis due to autotransfusion,Condition,condition_2
2,NCT00571389,COVID-19 Donors,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_3
3,NCT01306084,Anogenital Herpes,Herpes Genitalis,D006558,T019752,74855,Genital herpes simplex,Condition,condition_4
4,NCT01306084,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
5,NCT01306084,Herpes Labialis,Herpes Labialis,D006560,T019757,4033227,Herpes labialis,Condition,condition_6
6,NCT02081326,"Diabetes Mellitus, Type One","Diabetes Mellitus, Type 2",D003924,T011751,201826,Type 2 diabetes mellitus,Condition,condition_7
7,NCT02081326,"Diabetes Mellitus, Type I","Diabetes Mellitus, Type 2",D003924,T011751,201826,Type 2 diabetes mellitus,Condition,condition_8
8,NCT02081326,Autoimmune Diabetes,"Diabetes Mellitus, Type 1",D003922,T011740,201254,Type 1 diabetes mellitus,Condition,condition_9
9,NCT02081326,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
10,NCT02344290,HIV Infections,HIV Infections,D015658,T046323,439727,Human immunodeficiency virus infection,Condition,condition_11
11,NCT02344290,Cardiovascular Diseases,Cardiovascular Diseases,D002318,T006662,134057,Disorder of cardiovascular system,Condition,condition_12
12,NCT02735707,"Community-acquired Pneumonia, Influenza, COVID-19","Influenza, Human",D007251,T658127,4266367,Influenza,Condition,condition_13
13,NCT02765191,"Sepsis, Severe",Sepsis,D018805,T056029,132797,Sepsis,Condition,condition_14
14,NCT02765191,Acute Kidney Injury,Acute Kidney Injury,D058186,T761752,197320,Acute renal failure syndrome,Condition,condition_15
15,NCT02765191,COVID-19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_5
16,NCT02788903,Obesity,Obesity,D009765,T029022,433736,Obesity,Condition,condition_16
17,NCT02788903,Diabetes,"Diabetes Mellitus, Type 2",D003924,T011751,201826,Type 2 diabetes mellitus,Condition,condition_17
18,NCT02788903,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
19,NCT03042143,Acute Respiratory Distress Syndrome,Respiratory Distress Syndrome,D012128,T001010711,4195694,Acute respiratory distress syndrome,Condition,condition_18
20,NCT03183570,Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,D054990,T703056,45763750,Idiopathic pulmonary fibrosis,Condition,condition_19
21,NCT03183570,Primary Sclerosing Cholangitis,"Cholangitis, Sclerosing",D015209,T044471,4340953,Sclerosing cholangitis,Condition,condition_20
22,NCT03183570,Covid19 Pneumonia,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_21
23,NCT03188796,Critical Illness,Critical Illness,D016638,T049821,432586,Mental disorder,Condition,condition_22
24,NCT03188796,Vitamin D Deficiency,Vitamin D Deficiency,D014808,T043298,436070,Vitamin D deficiency,Condition,condition_23
25,NCT03188796,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
26,NCT03226886,Renal Cell Carcinoma,"Carcinoma, Renal Cell",D002292,T006596,45765451,Renal cell carcinoma,Condition,condition_24
27,NCT03226886,Cancer,Neoplasms,D009369,T027926,438112,Neoplastic disease,Condition,condition_25
28,NCT03226886,Healthy Volunteers,Healthy Volunteers,D064368,T837389,4009883,Well adolescent,Condition,condition_26
29,NCT03256773,Cystic Fibrosis,Cystic Fibrosis,D003550,T010315,441267,Cystic fibrosis,Condition,condition_27
30,NCT03256773,COPD,"Pulmonary Disease, Chronic Obstructive",D029424,T024361,255573,Chronic obstructive lung disease,Condition,condition_28
31,NCT03256773,PCD - Primary Ciliary Dyskinesia,Kartagener Syndrome,D007619,T443993,4173466,Kartagener syndrome,Condition,condition_29
32,NCT03256773,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
33,NCT03256773,Sinusitis,Sinusitis,D012852,T037896,4283893,Sinusitis,Condition,condition_30
34,NCT03262051,Inflammation,Inflammation,D007249,T021731,4200521,Anal inflammation,Condition,condition_31
35,NCT03305341,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
36,NCT03331445,Respiratory Tract Infections,Respiratory Tract Infections,D012141,T036165,4170143,Respiratory tract infection,Condition,condition_32
37,NCT03331445,Corona Virus Infection,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_33
38,NCT03348670,Covid19,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_10
39,NCT03376854,"Respiratory Distress Syndrome, Adult",Respiratory Distress Syndrome,D012128,T001010711,4195694,Acute respiratory distress syndrome,Condition,condition_34
40,NCT03376854,Sars-CoV2,COVID-19,D000086382,T001007884,37311061,COVID-19,Condition,condition_35
41,NCT03452774,"Cancer, Metastatic",Lung Neoplasms,D008175,T024371,4128888,Neoplasm of lung,Condition,condition_36
42,NCT03452774,Cancer,Neoplasms,D009369,T027926,438112,Neoplastic disease,Condition,condition_25
43,NCT03452774,Cancer of Pancreas,Pancreas,D010179,T030132,4192640,Pancreatitis,Condition,condition_37
44,NCT03452774,Cancer of Liver,Liver,D008099,T024166,4230556,Alive,Condition,condition_38
45,NCT03452774,Cancer of Stomach,Stomach,D013270,T038994,4152197,Stomach ache,Condition,condition_39
46,NCT03452774,Cancer Liver,Liver Neoplasms,D008113,T024213,4130518,Neoplasm of liver,Condition,condition_40
47,NCT03452774,Cancer of Rectum,Rectum,D012007,T035733,4115568,Normal rectum,Condition,condition_41
48,NCT03452774,Cancer of Kidney,Kidney,D007668,T023037,201620,Kidney stone,Condition,condition_42
49,NCT03452774,Cancer of Esophagus,Esophagus,D004947,T015102,4009391,Pain in esophagus,Condition,condition_43
50,NCT03452774,Cancer of Cervix,Cervix Uteri,D002584,T007517,4160694,Spasm of cervix uteri,Condition,condition_44
