Unnamed: 0,Unnamed: 0.1,nctid,CUI,standard_name,measure_type,measure_id,standard_measuer_id,conceptId,conceptName,domainId
0,5,NCT02081326,0,Saline injection,Comparator,intervention_2,standard_inter_2,21076523,Valine Injectable Solution,Drug
1,7,NCT02344290,C0032042,Placebo,Comparator,intervention_8,standard_inter_4,44804245,Placebo,Observation
2,8,NCT02735707,C3714578,Fix,Comparator,intervention_9,standard_inter_5,35952030,NFIX (nuclear factor I X) gene variant measurement,Measurement
3,10,NCT02735707,C0020268,hydrocortisone,Comparator,intervention_11,standard_inter_6,975125,hydrocortisone,Drug
4,11,NCT02735707,C0007561,Ceftriaxone,Comparator,intervention_12,standard_inter_7,1777806,ceftriaxone,Drug
5,12,NCT02735707,C0282386,levofloxacin,Comparator,intervention_13,standard_inter_8,1742253,levofloxacin,Drug
6,13,NCT02735707,0,Piperacillin-tazobactam,Comparator,intervention_14,standard_inter_9,46275426,piperacillin / tazobactam Injection,Drug
7,14,NCT02735707,C2001521,Ceftaroline,Comparator,intervention_15,standard_inter_10,40230597,ceftaroline,Drug
8,15,NCT02735707,0,Amoxicillin-clavulanate,Comparator,intervention_16,standard_inter_11,40105046,amoxicillin / clavulanate Oral Tablet,Drug
9,16,NCT02735707,0,Macrolide administered for 3-5 days,Comparator,intervention_17,standard_inter_12,45884604,3-5 days,Meas Value
10,17,NCT02735707,0,Macrolide administered for up to 14 days,Comparator,intervention_18,standard_inter_13,37079324,6 to 14 days,Meas Value
11,19,NCT02735707,C0874161,oseltamivir,Comparator,intervention_20,standard_inter_14,1799139,oseltamivir,Drug
12,20,NCT02735707,C0874161,oseltamivir,Comparator,intervention_21,standard_inter_14,1799139,oseltamivir,Drug
13,22,NCT02735707,0,Lopinavir/ritonavir,Comparator,intervention_23,standard_inter_15,1748921,ritonavir,Drug
14,23,NCT02735707,C0020336,Hydroxychloroquine,Comparator,intervention_24,standard_inter_16,1777087,hydroxychloroquine,Drug
15,24,NCT02735707,C0020336,hydroxychloroquine,Comparator,intervention_25,standard_inter_16,1777087,hydroxychloroquine,Drug
16,26,NCT02735707,0,Interferon-β1a,Comparator,intervention_27,standard_inter_17,35884376,Interferon,Drug
17,27,NCT02735707,C0245109,Anakinra,Comparator,intervention_28,standard_inter_18,1114375,anakinra,Drug
18,28,NCT02735707,C3714578,Fix,Comparator,intervention_29,standard_inter_5,35952030,NFIX (nuclear factor I X) gene variant measurement,Measurement
19,29,NCT02735707,C1609165,Tocilizumab,Comparator,intervention_30,standard_inter_19,40171288,tocilizumab,Drug
20,30,NCT02735707,C3885145,Sarilumab,Comparator,intervention_31,standard_inter_20,1594587,sarilumab,Drug
21,32,NCT02735707,0,Vitamin C,Comparator,intervention_33,standard_inter_21,35824986,Vitamin C,Observation
22,34,NCT02735707,0,Therapeutic anticoagulation,Comparator,intervention_35,standard_inter_22,36674433,Anticoagulant therapeutic role,Observation
23,36,NCT02735707,C0074554,Simvastatin,Comparator,intervention_37,standard_inter_23,1539403,simvastatin,Drug
24,38,NCT02735707,0,Convalescent plasma,Comparator,intervention_39,standard_inter_24,4112241,Convalescent phase,Observation
25,40,NCT02735707,C0679199,Strategy,Comparator,intervention_41,standard_inter_25,4208364,Strategy training,Procedure
26,41,NCT02735707,C1743645,Eritoran,Comparator,intervention_42,standard_inter_26,42002249,Perito,Geography
27,42,NCT02735707,C1678805,Apremilast,Comparator,intervention_43,standard_inter_27,44816294,apremilast,Drug
28,44,NCT02735707,C0004057,Aspirin,Comparator,intervention_45,standard_inter_28,1112807,aspirin,Drug
29,45,NCT02735707,C0070166,Clopidogrel,Comparator,intervention_46,standard_inter_29,1322184,clopidogrel,Drug
30,46,NCT02735707,C1620287,Prasugrel,Comparator,intervention_47,standard_inter_30,40163718,prasugrel,Drug
31,47,NCT02735707,C1999375,Ticagrelor,Comparator,intervention_48,standard_inter_31,40241186,ticagrelor,Drug
32,49,NCT02788903,0,Weight Counseling,Comparator,intervention_50,standard_inter_33,4306538,Weight maintenance consultation,Observation
33,50,NCT02788903,C0162648,Telemedicine,Comparator,intervention_51,standard_inter_34,38003414,Other Telemedicine,Revenue Code
34,51,NCT02788903,0,Weight Counseling,Comparator,intervention_52,standard_inter_33,4306538,Weight maintenance consultation,Observation
35,52,NCT02788903,C0162648,Telemedicine,Comparator,intervention_53,standard_inter_34,38003414,Other Telemedicine,Revenue Code
36,54,NCT03042143,C0032042,Placebo,Comparator,intervention_55,standard_inter_4,44804245,Placebo,Observation
37,58,NCT03188796,C0032042,Placebo,Comparator,intervention_59,standard_inter_4,44804245,Placebo,Observation
38,65,NCT03262051,0,CYP phenotyping,Comparator,intervention_66,standard_inter_38,4122987,Phenotyping,Observation
39,66,NCT03262051,0,CYP phenotyping,Comparator,intervention_67,standard_inter_38,4122987,Phenotyping,Observation
40,67,NCT03262051,0,CYP phenotyping,Comparator,intervention_68,standard_inter_38,4122987,Phenotyping,Observation
41,73,NCT03376854,C2936643,Standard of Care,Comparator,intervention_74,standard_inter_43,42078880,Standard,Geography
42,74,NCT03452774,0,Clinical Trial Matching,Comparator,intervention_75,standard_inter_44,42047817,Matching,Geography
43,77,NCT03680274,0,Control,Comparator,intervention_78,standard_inter_46,4076975,Control,Observation
