indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
1,NCT04452435,Change From Baseline in C-reactive Protein (CRP) After Treatment With C21 200 mg Daily Dose (100 mg b.i.d.),O1:45|O2:46,O1:0.19|O2:0.22,C21 Treatment|Placebo Treatment,C-reactive Protein (CRP),CRP,"['C-reactive Protein (CRP)', 'C-reactive Protein']",Time Frame: Day 1 through Day 29 ,4208414,C-reactive protein measurement,Measurement,outcome_1
2,NCT04452435,Change From Baseline in Body Temperature,O1:51|O2:54,O1:-0.11|O2:-0.34,C21 Treatment|Placebo Treatment,Body Temperature ,Body Temperature ,['Body Temperature'],Time Frame: Baseline ,4302666,Body temperature,Measurement,outcome_2
3,NCT04452435,Change From Baseline in IL-6,O1:31|O2:34,O1:0.73|O2:0.73,C21 Treatment|Placebo Treatment,IL-6 ,IL-6 ,['IL-6'],"Time Frame: Study period, up to two months from the day the first participant was screened ",4332015,IL-6 assay,Measurement,outcome_3
4,NCT04452435,Change From Baseline in IL-10,O1:37|O2:39,O1:0.66|O2:0.73,C21 Treatment|Placebo Treatment,IL-10 ,IL-10 ,['IL-10'],"Time Frame: Study period, up to two months from the day the first participant was screened ",4139809,Changed status,Observation,outcome_4
5,NCT04452435,Change From Baseline in TNF,O1:46|O2:46,O1:0.91|O2:1.01,C21 Treatment|Placebo Treatment,TNF,TNF,['TNF'],"Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days ",35957205,TNF (tumor necrosis factor) gene variant measurement,Measurement,outcome_5
6,NCT04452435,Change From Baseline in CA125,O1:46|O2:48,O1:1.16|O2:1.17,C21 Treatment|Placebo Treatment,CA125,CA125,['CA125'],Time Frame: Baseline ,4139809,Changed status,Observation,outcome_6
7,NCT04452435,Change From Baseline in Ferritin,O1:46|O2:47,O1:0.75|O2:0.74,C21 Treatment|Placebo Treatment,Ferritin ,Ferritin ,['Ferritin'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",37397915,Serum ferritin level,Measurement,outcome_7
8,NCT04452435,Number of Subjects Not in Need of Oxygen Supply,O1:51|O2:55,O1:37|O2:30,C21 Treatment|Placebo Treatment,Need of Oxygen Supply ,Oxygen,"['Oxygen', 'Need of Oxygen Supply']",Time Frame: Up to 28 days ,4130549,Central oxygen supply,Device,outcome_8
9,NCT04452435,Number of Subjects Not in Need of Mechanical Invasive or Non-invasive Ventilation,O1:51|O2:55,O1:50|O2:53,C21 Treatment|Placebo Treatment,Need of Mechanical Invasive or Non-invasive Ventilation ,Mechanical Ventilation,['Need of Mechanical Invasive or Non-invasive Ventilation'],Time Frame: Up to 28 days ,4177224,Noninvasive ventilation,Procedure,outcome_9
10,NCT04452435,Time to Need of Mechanical Invasive or Non-invasive Ventilation,O1:1|O2:2,O1:60.0|O2:77.925,C21 Treatment|Placebo Treatment,Time to Need of Mechanical Invasive or Non-invasive Ventilation ,Mechanical Ventilation,"['Time to Need of Mechanical Invasive or Non-invasive Ventilation', 'Need of Mechanical Invasive or Non-invasive Ventilation']","Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days ",1035094,Non-invasive mechanical ventilator,Meas Value,outcome_10
11,NCT04452435,Time on Oxygen Supply (for Those Not Needing Mechanical Invasive or Non-invasive Ventilation),O1:51|O2:55,O1:5.0|O2:5.0,C21 Treatment|Placebo Treatment,Time on Oxygen Supply,Oxygen,"['Oxygen', 'Time on Oxygen Supply']",Time Frame: 5 and 14 days ,36308581,Supplemental oxygen,Meas Value,outcome_11
12,NCT04452435,Adverse Events,O1:51|O2:55,O1:31|O2:37,C21 Treatment|Placebo Treatment,Adverse Events ,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study ,45884383,Adverse event,Meas Value,outcome_12
13,NCT04452435,Oxygen Supplementation at Day 14,O1:51|O2:55,O1:1|O2:11,C21 Treatment|Placebo Treatment,Oxygen,Oxygen,['Oxygen'],NA,36308581,Supplemental oxygen,Meas Value,outcome_13
14,NCT04431908,"Sensitivity, Specificity and Accuracy",O1:1042,O1:889|O1:106|O1:27|O1:20,Outpatients (Drive Thru),"Sensitivity, Specificity and Accuracy ","Sensitivity, Specificity and Accuracy ","['Sensitivity, Specificity and Accuracy']",Time Frame: Baseline up to 60 days ,4148702,Sensitivity,Condition,outcome_14
15,NCT04431908,Repeatability,O1:0|O2:0,NA,Outpatients (Drive Thru)|High Risk Asymptomatics,Repeatability ,Repeatability ,['Repeatability'],"Time Frame: Baseline, Days 4, 7, 15, 21, and 29 ",4099902,Repeat,Observation,outcome_15
16,NCT04431908,"Asymptomatic Sensitivity, Specificity and Accuracy",O1:278,O1:244|O1:31|O1:27|O1:1,High Risk Asymptomatics,"Asymptomatic Sensitivity, Specificity and Accuracy ","Asymptomatic Sensitivity, Specificity and Accuracy ","['Asymptomatic Sensitivity, Specificity and Accuracy', 'Symptom', 'Sensitivity, Specificity and Accuracy']",Time Frame: At the first 5 days of study ,45881176,Asymptomatic,Meas Value,outcome_16
17,NCT04716426,COVID-19 Contamination Rate.,O1:50|O2:50,O1:2|O2:5,Tetracycline Hydrochloride 3%|Placebo,Contamination Rate,Contamination Rate,['Contamination Rate'],Time Frame: 12 days ,757681,COVID-19 case report,Measurement,outcome_17
