index,nctid,Intervention_type,huage_did,CUI,standard_intervention,I/C ,intervention_id,“+”：has_significant；“-”：no_difference,standard_indicator,outcome_id
3,NCT04452435,Drug,C21 100 mg twice daily,,C21,I,intervention_1,-,IL-6 ,outcome_3
4,NCT04452435,Drug,C21 100 mg twice daily,,C21,I,intervention_1,-,IL-10 ,outcome_4
5,NCT04452435,Drug,C21 100 mg twice daily,,C21,I,intervention_1,-,TNF,outcome_5
6,NCT04452435,Drug,C21 100 mg twice daily,,C21,I,intervention_1,-,CA125,outcome_6
7,NCT04452435,Drug,C21 100 mg twice daily,,C21,I,intervention_1,-,Ferritin ,outcome_7
9,NCT04452435,Drug,C21 100 mg twice daily,,C21,I,intervention_1,-,Mechanical Ventilation,outcome_9
10,NCT04452435,Drug,C21 100 mg twice daily,,C21,I,intervention_1,-,Mechanical Ventilation,outcome_10
11,NCT04452435,Drug,C21 100 mg twice daily,,C21,I,intervention_1,-,Oxygen,outcome_11
25,NCT04392141,Drug,Colchicine and Herbal Phenolic Monoterpene Fractions,C0009262,colchicine,I,intervention_4,-,Lymphocyte Count,outcome_23
53,NCT04646109,Drug,Ivermectin,C0022322,Ivermectin,I,intervention_6,-,Clinical Response,outcome_51
54,NCT04646109,Drug,Ivermectin,C0022322,Ivermectin,I,intervention_6,-,SpO2,outcome_52
55,NCT04646109,Drug,Ivermectin,C0022322,Ivermectin,I,intervention_6,-,P/F Ratio,outcome_53
56,NCT04646109,Drug,Ivermectin,C0022322,Ivermectin,I,intervention_6,-,Lymphocyte,outcome_54
57,NCT04646109,Drug,Ivermectin,C0022322,Ivermectin,I,intervention_6,-,PNL/L,outcome_55
58,NCT04646109,Drug,Ivermectin,C0022322,Ivermectin,I,intervention_6,-,Ferritin,outcome_56
59,NCT04646109,Drug,Ivermectin,C0022322,Ivermectin,I,intervention_6,-,D-dimer,outcome_57
62,NCT04646109,Drug,Ivermectin,C0022322,Ivermectin,I,intervention_6,-,Death ,outcome_60
67,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Fever ,outcome_65
